F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F B F B F F F F F F F F F F 
F F F F F F F B B B B F F F F F F F F F 
F F F F F B B B B B B F F F F F F F F F 
F F F F B F B B B B B F F F F F F F F F 
F F F F B B B B B B B B F F F F F F F F 
F F F F B F B X B B B B F F F F F F F F 
F F F F F F F F B B B B F F F F F F F F 
F F F F F F B B B B F F F F F F F F F F 
F F F F F F F B F F F F F F F F F F F F 
