F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F B B B F F F F F F F 
F F F F F F F F B B B B F F B F F F F F 
F F F F F B B B B B B B F B F F F F F F 
F B B B F B B B X B X B B B B F F F F F 
F B B B B B B X X B B B B B B F F F F F 
F B B B B B B B X X X B B B B F F F F F 
B B B B X X X X X B B B B B B F F F F F 
F B B X X B B X X X B B B B B F F F F F 
B F B B X X B B X X X X X B B B F F F F 
B B X X B B B X B X X B X B B F F F F F 
F B B B B B B X B B X B B B F F F F F F 
F B F B B B X X X B B B B B B F F F F F 
F F F F B B B B X B B B B F B F F F F F 
