F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F B B F F F F F F F F F 
F F F F F F F B B B B F B F F F F F F F 
F F F F F F B X B B B B F F F F F F F F 
F F B B B B B B X B B B B F F F F F F F 
F F B B B B X X B B B B B F F F F F F F 
F F B B B B B X X B B B F B F F F F F F 
F F F F B B B B B B B B B F F F F F F F 
F F B B B B B X B B B B B F F F F F F F 
F F B B B B B B B B B B B F F F F F F F 
F F F F B B B X B B F B B F F F F F F F 
F F F F F F F B B B F F F F F F F F F F 
